date,sku_id,store_id,sales_qty,stock_level,promotion_flag,temperature,day_of_week,stockout_next_3d,stock_risk_score
2024-01-01,SKU_014,STORE_1,25.0,145,0,19.9,0,0,-0.009
2024-01-01,SKU_014,STORE_2,,12,0,12.8,0,1,1.005
2024-01-01,SKU_014,STORE_3,30.0,130,0,26.0,0,0,-0.022
2024-01-01,SKU_014,STORE_4,41.0,47,0,18.2,0,0,-0.004
2024-01-01,SKU_014,STORE_5,,47,0,13.7,0,0,0.01
2024-01-01,SKU_015,STORE_1,32.0,62,0,8.0,0,0,0.029
2024-01-01,SKU_015,STORE_2,27.0,0,1,14.9,0,1,0.992
2024-01-01,SKU_015,STORE_3,37.0,148,0,9.9,0,0,0.001
2024-01-01,SKU_015,STORE_4,26.0,138,0,1.4,0,0,-0.001
2024-01-01,SKU_015,STORE_5,39.0,70,0,7.8,0,0,-0.014
2024-01-01,SKU_016,STORE_1,25.0,120,0,12.9,0,0,0.014
2024-01-01,SKU_016,STORE_2,36.0,136,1,,0,0,-0.011
2024-01-01,SKU_016,STORE_3,18.0,147,0,22.7,0,0,-0.003
2024-01-01,SKU_016,STORE_4,32.0,3,0,8.0,0,1,0.988
2024-01-01,SKU_016,STORE_5,31.0,110,0,5.3,0,0,0.003
2024-01-01,SKU_017,STORE_1,34.0,140,0,-6.2,0,0,-0.016
2024-01-01,SKU_017,STORE_2,29.0,147,0,9.7,0,0,0.012
2024-01-01,SKU_017,STORE_3,47.0,81,1,31.8,0,0,-0.022
2024-01-01,SKU_017,STORE_4,24.0,172,0,-2.3,0,0,0.0
2024-01-01,SKU_017,STORE_5,31.0,86,0,8.8,0,0,0.01
2024-01-01,SKU_018,STORE_1,,0,1,29.4,0,1,1.0
2024-01-01,SKU_018,STORE_2,38.0,146,0,31.4,0,0,0.003
2024-01-01,SKU_018,STORE_3,31.0,98,0,,0,0,-0.001
2024-01-01,SKU_018,STORE_4,,78,0,6.3,0,0,-0.001
2024-01-01,SKU_018,STORE_5,26.0,5,0,,0,1,0.974
2024-01-01,SKU_019,STORE_1,29.0,75,0,19.1,0,0,-0.001
2024-01-01,SKU_019,STORE_2,29.0,42,0,28.4,0,0,-0.002
2024-01-01,SKU_019,STORE_3,22.0,130,0,23.7,0,0,0.005
2024-01-01,SKU_019,STORE_4,,79,0,14.0,0,0,0.015
2024-01-01,SKU_019,STORE_5,24.0,106,0,14.9,0,0,0.013
2024-01-01,SKU_020,STORE_1,32.0,131,1,19.0,0,0,0.006
2024-01-01,SKU_020,STORE_2,34.0,46,0,9.9,0,0,-0.015
2024-01-01,SKU_020,STORE_3,20.0,60,0,4.4,0,0,0.008
2024-01-01,SKU_020,STORE_4,32.0,65,1,31.8,0,0,-0.003
2024-01-01,SKU_020,STORE_5,,45,0,38.8,0,0,-0.014
2024-01-02,SKU_001,STORE_1,36.0,0,0,23.5,1,1,0.984
2024-01-02,SKU_001,STORE_2,32.0,1,0,8.8,1,1,1.016
2024-01-02,SKU_001,STORE_3,43.0,14,1,19.0,1,1,0.988
2024-01-02,SKU_001,STORE_4,24.0,23,0,7.2,1,0,0.015
2024-01-02,SKU_001,STORE_5,32.0,0,1,4.4,1,1,0.995
2024-01-02,SKU_002,STORE_1,29.0,101,0,8.5,1,0,0.006
2024-01-02,SKU_002,STORE_2,35.0,153,0,19.0,1,0,-0.011
2024-01-02,SKU_002,STORE_3,40.0,38,0,31.5,1,0,-0.013
2024-01-02,SKU_002,STORE_4,23.0,108,0,1.0,1,0,0.003
2024-01-02,SKU_002,STORE_5,26.0,48,0,,1,0,-0.0
2024-01-02,SKU_003,STORE_1,39.0,93,0,16.7,1,0,0.001
2024-01-02,SKU_003,STORE_2,38.0,160,0,24.1,1,0,0.007
2024-01-02,SKU_003,STORE_3,29.0,80,0,5.9,1,0,0.006
2024-01-02,SKU_003,STORE_4,19.0,77,0,21.4,1,0,0.002
2024-01-02,SKU_003,STORE_5,19.0,13,0,13.5,1,1,0.99
2024-01-02,SKU_004,STORE_1,24.0,12,0,10.9,1,1,0.984
2024-01-02,SKU_004,STORE_2,45.0,36,1,38.9,1,0,-0.006
2024-01-02,SKU_004,STORE_3,31.0,150,0,9.0,1,0,0.014
2024-01-02,SKU_004,STORE_4,33.0,0,0,,1,1,0.995
2024-01-02,SKU_004,STORE_5,,160,0,13.4,1,0,0.015
2024-01-02,SKU_005,STORE_1,31.0,134,0,17.9,1,0,0.0
2024-01-02,SKU_005,STORE_2,26.0,118,0,35.8,1,0,0.018
2024-01-02,SKU_005,STORE_3,30.0,93,0,15.2,1,0,0.019
2024-01-02,SKU_005,STORE_4,30.0,4,0,,1,1,0.993
2024-01-02,SKU_005,STORE_5,35.0,17,0,32.1,1,0,0.0
2024-01-02,SKU_006,STORE_1,45.0,71,1,14.7,1,0,-0.005
2024-01-02,SKU_006,STORE_2,41.0,0,1,-7.4,1,1,0.987
2024-01-02,SKU_006,STORE_3,25.0,158,0,21.8,1,0,-0.004
2024-01-02,SKU_006,STORE_4,35.0,30,0,7.3,1,0,-0.0
2024-01-02,SKU_006,STORE_5,35.0,95,0,2.6,1,0,0.01
2024-01-02,SKU_007,STORE_1,38.0,0,0,,1,0,-0.004
2024-01-02,SKU_007,STORE_2,38.0,0,0,17.0,1,0,0.002
2024-01-02,SKU_007,STORE_3,23.0,0,0,5.1,1,0,0.007
2024-01-02,SKU_007,STORE_4,31.0,0,0,13.7,1,0,0.016
2024-01-02,SKU_007,STORE_5,,0,0,19.8,1,0,-0.009
2024-01-02,SKU_008,STORE_1,24.0,123,0,28.2,1,0,-0.002
2024-01-02,SKU_008,STORE_2,24.0,83,0,3.7,1,0,-0.008
2024-01-02,SKU_008,STORE_3,39.0,136,0,13.5,1,0,-0.009
2024-01-02,SKU_008,STORE_4,29.0,53,0,19.5,1,0,0.001
2024-01-02,SKU_008,STORE_5,31.0,167,0,15.1,1,0,-0.01
2024-01-02,SKU_009,STORE_1,26.0,12,0,13.9,1,1,0.994
2024-01-02,SKU_009,STORE_2,41.0,91,1,16.6,1,0,-0.001
2024-01-02,SKU_009,STORE_3,,83,0,,1,0,-0.01
2024-01-02,SKU_009,STORE_4,25.0,66,0,17.0,1,0,0.009
2024-01-02,SKU_009,STORE_5,39.0,15,1,9.8,1,0,0.005
2024-01-02,SKU_010,STORE_1,35.0,126,0,19.9,1,0,-0.008
2024-01-02,SKU_010,STORE_2,36.0,0,0,-1.7,1,1,0.993
2024-01-02,SKU_010,STORE_3,26.0,0,0,32.6,1,1,0.973
2024-01-02,SKU_010,STORE_4,41.0,64,0,8.7,1,0,0.003
2024-01-02,SKU_010,STORE_5,23.0,124,0,27.5,1,0,0.01
2024-01-02,SKU_011,STORE_1,37.0,85,0,37.8,1,0,-0.009
2024-01-02,SKU_011,STORE_2,36.0,12,0,,1,1,0.997
2024-01-02,SKU_011,STORE_3,35.0,60,0,-1.3,1,0,-0.008
2024-01-02,SKU_011,STORE_4,40.0,77,0,20.5,1,0,0.004
2024-01-02,SKU_011,STORE_5,43.0,22,0,5.0,1,0,-0.015
2024-01-02,SKU_012,STORE_1,30.0,25,1,20.1,1,0,0.013
2024-01-02,SKU_012,STORE_2,34.0,83,0,23.2,1,0,-0.009
2024-01-02,SKU_012,STORE_3,45.0,7,0,13.8,1,1,0.977
2024-01-02,SKU_012,STORE_4,46.0,127,0,2.7,1,0,-0.006
2024-01-02,SKU_012,STORE_5,22.0,58,0,16.5,1,0,-0.013
2024-01-02,SKU_013,STORE_1,29.0,2,0,-0.6,1,1,0.991
2024-01-02,SKU_013,STORE_2,31.0,71,0,11.0,1,0,-0.011
2024-01-02,SKU_013,STORE_3,36.0,72,0,20.6,1,0,-0.002
2024-01-02,SKU_013,STORE_4,37.0,29,0,25.8,1,0,-0.01
2024-01-02,SKU_013,STORE_5,,119,1,2.5,1,0,0.002
2024-01-02,SKU_014,STORE_1,18.0,117,0,41.1,1,0,0.0
2024-01-02,SKU_014,STORE_2,21.0,129,0,24.4,1,0,0.0
2024-01-02,SKU_014,STORE_3,28.0,6,0,9.8,1,1,0.983
2024-01-02,SKU_014,STORE_4,38.0,89,0,35.4,1,0,0.009
2024-01-02,SKU_014,STORE_5,27.0,115,0,19.9,1,0,-0.011
2024-01-02,SKU_015,STORE_1,31.0,4,0,27.2,1,1,0.983
2024-01-02,SKU_015,STORE_2,28.0,56,0,8.2,1,0,0.015
2024-01-02,SKU_015,STORE_3,25.0,147,0,12.0,1,0,-0.005
2024-01-02,SKU_015,STORE_4,34.0,106,0,7.0,1,0,-0.003
2024-01-02,SKU_015,STORE_5,37.0,135,0,24.8,1,0,-0.012
2024-01-02,SKU_016,STORE_1,19.0,117,0,12.9,1,0,-0.011
2024-01-02,SKU_016,STORE_2,36.0,160,0,10.8,1,0,-0.011
2024-01-02,SKU_016,STORE_3,36.0,146,0,14.0,1,0,-0.003
2024-01-02,SKU_016,STORE_4,38.0,106,0,6.7,1,0,0.011
2024-01-02,SKU_016,STORE_5,27.0,3,0,19.7,1,1,0.979
2024-01-02,SKU_017,STORE_1,29.0,114,0,8.9,1,0,-0.003
2024-01-02,SKU_017,STORE_2,30.0,135,0,11.1,1,0,0.02
2024-01-02,SKU_017,STORE_3,31.0,33,1,21.9,1,0,-0.001
2024-01-02,SKU_017,STORE_4,33.0,26,0,4.4,1,0,-0.008
2024-01-02,SKU_017,STORE_5,39.0,72,0,-1.4,1,0,0.012
2024-01-02,SKU_018,STORE_1,40.0,149,0,19.6,1,0,-0.012
2024-01-02,SKU_018,STORE_2,43.0,114,1,5.7,1,0,-0.005
2024-01-02,SKU_018,STORE_3,30.0,2,0,20.9,1,1,0.987
2024-01-02,SKU_018,STORE_4,28.0,100,0,15.2,1,0,-0.005
2024-01-02,SKU_018,STORE_5,26.0,56,0,,1,0,-0.013
2024-01-02,SKU_019,STORE_1,33.0,54,0,20.6,1,0,-0.013
2024-01-02,SKU_019,STORE_2,37.0,100,0,8.0,1,0,0.005
2024-01-02,SKU_019,STORE_3,24.0,24,0,10.2,1,0,0.002
2024-01-02,SKU_019,STORE_4,34.0,43,1,16.3,1,0,-0.003
2024-01-02,SKU_019,STORE_5,56.0,2,1,,1,1,0.995
2024-01-02,SKU_020,STORE_1,,162,0,2.8,1,0,0.008
2024-01-02,SKU_020,STORE_2,41.0,25,0,2.2,1,0,0.007
2024-01-02,SKU_020,STORE_3,,115,0,23.7,1,0,0.008
2024-01-02,SKU_020,STORE_4,29.0,15,0,26.6,1,0,0.004
2024-01-02,SKU_020,STORE_5,33.0,46,0,5.7,1,0,0.001
2024-01-03,SKU_001,STORE_1,33.0,10,0,18.4,2,1,0.998
2024-01-03,SKU_001,STORE_2,35.0,1,0,19.6,2,1,1.003
2024-01-03,SKU_001,STORE_3,25.0,111,0,18.7,2,0,0.003
2024-01-03,SKU_001,STORE_4,19.0,110,0,-0.8,2,0,0.004
2024-01-03,SKU_001,STORE_5,36.0,71,0,24.0,2,0,-0.005
2024-01-03,SKU_002,STORE_1,30.0,75,1,27.7,2,0,-0.003
2024-01-03,SKU_002,STORE_2,36.0,16,0,26.8,2,0,0.01
2024-01-03,SKU_002,STORE_3,25.0,144,0,8.4,2,0,-0.006
2024-01-03,SKU_002,STORE_4,42.0,0,0,24.2,2,1,1.01
2024-01-03,SKU_002,STORE_5,14.0,13,0,20.5,2,1,0.991
2024-01-03,SKU_003,STORE_1,30.0,121,0,27.7,2,0,0.011
2024-01-03,SKU_003,STORE_2,38.0,87,0,20.6,2,0,-0.0
2024-01-03,SKU_003,STORE_3,29.0,112,0,21.5,2,0,-0.015
2024-01-03,SKU_003,STORE_4,30.0,42,0,30.7,2,0,-0.004
2024-01-03,SKU_003,STORE_5,36.0,88,0,44.7,2,0,-0.002
2024-01-03,SKU_004,STORE_1,21.0,95,0,14.0,2,0,0.006
2024-01-03,SKU_004,STORE_2,30.0,141,0,26.3,2,0,0.014
2024-01-03,SKU_004,STORE_3,34.0,102,0,12.3,2,0,-0.018
2024-01-03,SKU_004,STORE_4,32.0,102,0,30.1,2,0,-0.007
2024-01-03,SKU_004,STORE_5,,35,0,31.4,2,0,-0.01
2024-01-03,SKU_005,STORE_1,32.0,159,0,22.5,2,0,0.007
2024-01-03,SKU_005,STORE_2,,30,0,7.8,2,0,0.009
2024-01-03,SKU_005,STORE_3,26.0,63,0,,2,0,0.007
2024-01-03,SKU_005,STORE_4,24.0,0,0,25.6,2,1,0.979
2024-01-03,SKU_005,STORE_5,29.0,83,0,10.3,2,0,-0.006
2024-01-03,SKU_006,STORE_1,34.0,0,0,18.5,2,1,0.984
2024-01-03,SKU_006,STORE_2,23.0,171,0,6.6,2,0,-0.004
2024-01-03,SKU_006,STORE_3,32.0,143,0,20.2,2,0,0.014
2024-01-03,SKU_006,STORE_4,26.0,22,0,30.8,2,0,-0.012
2024-01-03,SKU_006,STORE_5,24.0,156,0,38.1,2,0,0.014
2024-01-03,SKU_007,STORE_1,25.0,0,0,24.2,2,0,0.005
2024-01-03,SKU_007,STORE_2,,0,0,18.5,2,0,-0.014
2024-01-03,SKU_007,STORE_3,24.0,0,0,7.7,2,1,0.997
2024-01-03,SKU_007,STORE_4,27.0,0,0,20.1,2,0,0.017
2024-01-03,SKU_007,STORE_5,39.0,0,0,39.0,2,0,0.011
2024-01-03,SKU_008,STORE_1,32.0,35,0,14.4,2,0,-0.017
2024-01-03,SKU_008,STORE_2,40.0,47,0,18.0,2,0,-0.004
2024-01-03,SKU_008,STORE_3,32.0,10,0,7.5,2,1,0.983
2024-01-03,SKU_008,STORE_4,26.0,69,0,13.5,2,0,-0.017
2024-01-03,SKU_008,STORE_5,34.0,146,0,16.3,2,0,-0.007
2024-01-03,SKU_009,STORE_1,,169,0,2.1,2,0,-0.004
2024-01-03,SKU_009,STORE_2,35.0,32,0,9.0,2,0,-0.011
2024-01-03,SKU_009,STORE_3,35.0,0,0,38.3,2,1,0.987
2024-01-03,SKU_009,STORE_4,28.0,108,0,22.3,2,0,0.003
2024-01-03,SKU_009,STORE_5,29.0,148,0,24.7,2,0,-0.011
2024-01-03,SKU_010,STORE_1,29.0,84,0,8.8,2,0,-0.023
2024-01-03,SKU_010,STORE_2,32.0,157,0,5.3,2,0,-0.002
2024-01-03,SKU_010,STORE_3,39.0,0,0,20.5,2,1,0.985
2024-01-03,SKU_010,STORE_4,22.0,115,0,19.8,2,0,-0.018
2024-01-03,SKU_010,STORE_5,35.0,106,0,-7.8,2,0,-0.003
2024-01-03,SKU_011,STORE_1,29.0,40,0,16.8,2,0,0.0
2024-01-03,SKU_011,STORE_2,40.0,125,0,17.7,2,0,0.0
2024-01-03,SKU_011,STORE_3,19.0,161,0,12.6,2,0,0.016
2024-01-03,SKU_011,STORE_4,18.0,161,0,3.7,2,0,-0.009
2024-01-03,SKU_011,STORE_5,16.0,10,0,22.3,2,1,0.999
2024-01-03,SKU_012,STORE_1,29.0,159,0,1.5,2,0,0.005
2024-01-03,SKU_012,STORE_2,29.0,87,0,18.0,2,0,-0.004
2024-01-03,SKU_012,STORE_3,28.0,160,0,9.7,2,0,-0.017
2024-01-03,SKU_012,STORE_4,32.0,0,0,27.4,2,1,0.996
2024-01-03,SKU_012,STORE_5,36.0,0,0,12.9,2,1,0.972
2024-01-03,SKU_013,STORE_1,29.0,34,0,13.6,2,0,0.023
2024-01-03,SKU_013,STORE_2,59.0,15,1,9.7,2,0,0.017
2024-01-03,SKU_013,STORE_3,36.0,0,0,13.9,2,1,0.987
2024-01-03,SKU_013,STORE_4,27.0,110,0,6.0,2,0,-0.009
2024-01-03,SKU_013,STORE_5,36.0,133,0,15.7,2,0,0.017
2024-01-03,SKU_014,STORE_1,45.0,116,1,22.8,2,0,-0.003
2024-01-03,SKU_014,STORE_2,41.0,53,1,8.2,2,0,-0.01
2024-01-03,SKU_014,STORE_3,37.0,153,0,3.3,2,0,0.002
2024-01-03,SKU_014,STORE_4,30.0,71,0,-4.9,2,0,0.004
2024-01-03,SKU_014,STORE_5,33.0,53,0,27.2,2,0,-0.009
2024-01-03,SKU_015,STORE_1,24.0,158,0,9.9,2,0,-0.0
2024-01-03,SKU_015,STORE_2,36.0,16,0,12.6,2,0,0.002
2024-01-03,SKU_015,STORE_3,32.0,156,0,39.6,2,0,0.026
2024-01-03,SKU_015,STORE_4,32.0,12,0,12.0,2,1,0.989
2024-01-03,SKU_015,STORE_5,22.0,57,0,17.4,2,0,-0.0
2024-01-03,SKU_016,STORE_1,24.0,5,0,5.3,2,1,0.984
2024-01-03,SKU_016,STORE_2,33.0,69,0,,2,0,0.004
2024-01-03,SKU_016,STORE_3,21.0,2,0,14.0,2,1,0.989
2024-01-03,SKU_016,STORE_4,23.0,120,0,,2,0,-0.001
2024-01-03,SKU_016,STORE_5,31.0,0,0,7.6,2,1,1.003
2024-01-03,SKU_017,STORE_1,29.0,120,0,1.8,2,0,-0.002
2024-01-03,SKU_017,STORE_2,37.0,120,1,14.3,2,0,0.0
2024-01-03,SKU_017,STORE_3,26.0,75,0,19.6,2,0,-0.0
2024-01-03,SKU_017,STORE_4,34.0,37,1,3.1,2,0,-0.006
2024-01-03,SKU_017,STORE_5,30.0,146,0,11.1,2,0,0.007
2024-01-03,SKU_018,STORE_1,22.0,7,0,20.5,2,1,0.989
2024-01-03,SKU_018,STORE_2,,158,0,23.1,2,0,0.011
2024-01-03,SKU_018,STORE_3,17.0,71,0,7.9,2,0,-0.006
2024-01-03,SKU_018,STORE_4,11.0,117,0,35.1,2,0,0.008
2024-01-03,SKU_018,STORE_5,20.0,20,0,16.4,2,0,-0.011
2024-01-03,SKU_019,STORE_1,39.0,0,0,17.4,2,1,0.969
2024-01-03,SKU_019,STORE_2,40.0,17,0,14.8,2,0,-0.015
2024-01-03,SKU_019,STORE_3,49.0,148,1,24.5,2,0,0.01
2024-01-03,SKU_019,STORE_4,38.0,150,1,15.3,2,0,0.01
2024-01-03,SKU_019,STORE_5,29.0,0,0,24.6,2,1,0.979
2024-01-03,SKU_020,STORE_1,27.0,3,0,14.5,2,1,0.976
2024-01-03,SKU_020,STORE_2,34.0,99,1,17.3,2,0,0.001
2024-01-03,SKU_020,STORE_3,22.0,171,0,5.9,2,0,-0.004
2024-01-03,SKU_020,STORE_4,34.0,126,1,22.5,2,0,-0.006
2024-01-03,SKU_020,STORE_5,31.0,138,0,11.4,2,0,-0.017
2024-01-04,SKU_001,STORE_1,,36,0,14.1,3,0,0.017
2024-01-04,SKU_001,STORE_2,33.0,0,0,14.1,3,1,0.975
2024-01-04,SKU_001,STORE_3,36.0,94,0,33.1,3,0,-0.001
2024-01-04,SKU_001,STORE_4,30.0,0,0,21.2,3,1,0.998
2024-01-04,SKU_001,STORE_5,39.0,129,0,12.9,3,0,-0.01
2024-01-04,SKU_002,STORE_1,35.0,96,0,6.5,3,0,0.007
2024-01-04,SKU_002,STORE_2,29.0,4,0,13.7,3,1,0.987
2024-01-04,SKU_002,STORE_3,31.0,58,0,15.1,3,0,0.001
2024-01-04,SKU_002,STORE_4,37.0,36,0,32.3,3,0,-0.001
2024-01-04,SKU_002,STORE_5,26.0,10,0,11.0,3,1,0.997
2024-01-04,SKU_003,STORE_1,20.0,131,0,,3,0,-0.002
2024-01-04,SKU_003,STORE_2,,141,1,12.0,3,0,-0.012
2024-01-04,SKU_003,STORE_3,36.0,100,1,25.9,3,0,0.012
2024-01-04,SKU_003,STORE_4,28.0,85,0,0.8,3,0,-0.013
2024-01-04,SKU_003,STORE_5,28.0,109,0,,3,0,0.003
2024-01-04,SKU_004,STORE_1,29.0,37,0,13.6,3,0,0.002
2024-01-04,SKU_004,STORE_2,35.0,34,0,27.0,3,0,0.011
2024-01-04,SKU_004,STORE_3,33.0,67,0,-4.4,3,0,-0.007
2024-01-04,SKU_004,STORE_4,26.0,42,0,10.9,3,0,0.008
2024-01-04,SKU_004,STORE_5,45.0,0,0,20.3,3,1,0.993
2024-01-04,SKU_005,STORE_1,50.0,127,1,12.3,3,0,0.005
2024-01-04,SKU_005,STORE_2,,164,0,5.0,3,0,0.002
2024-01-04,SKU_005,STORE_3,39.0,25,0,4.3,3,0,-0.001
2024-01-04,SKU_005,STORE_4,27.0,153,0,-4.4,3,0,-0.001
2024-01-04,SKU_005,STORE_5,36.0,126,0,13.5,3,0,-0.011
2024-01-04,SKU_006,STORE_1,30.0,117,0,12.6,3,0,0.01
2024-01-04,SKU_006,STORE_2,22.0,46,0,19.1,3,0,0.008
2024-01-04,SKU_006,STORE_3,23.0,113,0,15.0,3,0,-0.019
2024-01-04,SKU_006,STORE_4,27.0,20,0,21.3,3,0,-0.007
2024-01-04,SKU_006,STORE_5,15.0,102,0,10.5,3,0,-0.002
2024-01-04,SKU_007,STORE_1,44.0,0,1,4.3,3,0,-0.024
2024-01-04,SKU_007,STORE_2,34.0,0,0,,3,0,0.025
2024-01-04,SKU_007,STORE_3,,0,1,15.7,3,1,0.987
2024-01-04,SKU_007,STORE_4,27.0,0,0,14.8,3,0,-0.016
2024-01-04,SKU_007,STORE_5,38.0,0,0,11.4,3,0,-0.003
2024-01-04,SKU_008,STORE_1,31.0,155,0,20.1,3,0,-0.001
2024-01-04,SKU_008,STORE_2,27.0,33,0,10.7,3,0,-0.012
2024-01-04,SKU_008,STORE_3,34.0,27,0,26.5,3,0,-0.001
2024-01-04,SKU_008,STORE_4,28.0,98,0,2.7,3,0,-0.013
2024-01-04,SKU_008,STORE_5,25.0,95,0,17.1,3,0,-0.0
2024-01-04,SKU_009,STORE_1,38.0,0,0,9.5,3,1,0.986
2024-01-04,SKU_009,STORE_2,26.0,0,0,24.4,3,1,0.984
2024-01-04,SKU_009,STORE_3,19.0,162,0,18.9,3,0,-0.003
2024-01-04,SKU_009,STORE_4,27.0,170,0,7.3,3,0,-0.018
2024-01-04,SKU_009,STORE_5,36.0,114,1,17.8,3,0,0.005
2024-01-04,SKU_010,STORE_1,32.0,148,0,22.3,3,0,-0.001
2024-01-04,SKU_010,STORE_2,32.0,10,0,11.1,3,1,0.999
2024-01-04,SKU_010,STORE_3,24.0,28,0,5.8,3,0,-0.007
2024-01-04,SKU_010,STORE_4,45.0,122,1,3.2,3,0,0.007
2024-01-04,SKU_010,STORE_5,33.0,0,0,26.9,3,1,0.99
2024-01-04,SKU_011,STORE_1,19.0,46,0,9.0,3,0,-0.006
2024-01-04,SKU_011,STORE_2,41.0,77,0,2.9,3,0,-0.013
2024-01-04,SKU_011,STORE_3,44.0,95,1,17.8,3,0,0.006
2024-01-04,SKU_011,STORE_4,22.0,144,0,22.5,3,0,-0.012
2024-01-04,SKU_011,STORE_5,42.0,60,0,13.1,3,0,0.009
